age,occupation,maritalStatus,education,creditDefault,housingLoan,personalLoan,contactMode,month,dayOfWeek,duration,campaign,pdays,previous,poutcome,subscribed
54,housemaid,married,basic.9y,no,no,no,cellular,nov,wed,362,3,999,0,nonexistent,no
62,technician,married,unknown,no,no,no,cellular,mar,mon,105,2,999,0,nonexistent,no
58,unemployed,divorced,high.school,no,no,no,cellular,jul,mon,377,4,999,0,nonexistent,no
25,admin.,single,university.degree,no,yes,no,cellular,jul,thu,174,2,999,0,nonexistent,no
29,admin.,married,high.school,no,yes,yes,cellular,nov,mon,58,1,999,1,failure,no
30,blue-collar,single,basic.4y,unknown,unknown,unknown,telephone,may,fri,140,1,999,0,nonexistent,no
50,unemployed,married,professional.course,no,no,no,telephone,may,thu,189,1,999,0,nonexistent,no
42,admin.,married,university.degree,no,yes,yes,cellular,jul,mon,313,2,999,0,nonexistent,no
32,blue-collar,single,basic.9y,unknown,no,no,cellular,jul,fri,316,1,999,0,nonexistent,no
42,admin.,married,basic.6y,no,no,no,telephone,may,tue,155,2,999,0,nonexistent,no
33,admin.,single,professional.course,no,no,no,telephone,may,tue,485,3,999,0,nonexistent,no
29,admin.,married,high.school,no,no,no,cellular,jun,mon,155,1,999,1,failure,yes
59,management,married,university.degree,no,yes,no,cellular,dec,thu,646,3,6,1,success,no
30,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,320,3,999,0,nonexistent,no
34,blue-collar,single,basic.6y,no,yes,no,cellular,may,wed,125,3,999,0,nonexistent,no
48,services,married,high.school,unknown,no,no,cellular,nov,wed,303,3,999,0,nonexistent,no
35,technician,married,university.degree,no,yes,no,telephone,may,fri,371,2,999,0,nonexistent,no
53,unemployed,divorced,basic.9y,unknown,no,no,telephone,may,thu,215,2,999,0,nonexistent,no
27,services,married,basic.9y,no,yes,yes,cellular,may,mon,304,1,999,1,failure,no
46,admin.,single,university.degree,no,no,yes,telephone,may,fri,105,4,999,0,nonexistent,no
36,entrepreneur,single,basic.9y,unknown,yes,yes,cellular,may,thu,75,3,999,0,nonexistent,no
27,technician,single,professional.course,no,no,no,cellular,may,tue,209,2,999,0,nonexistent,no
49,management,married,university.degree,no,no,no,telephone,jun,mon,202,1,999,0,nonexistent,no
30,student,single,unknown,no,yes,no,cellular,mar,tue,136,1,9,1,success,yes
50,management,married,university.degree,no,yes,no,cellular,oct,fri,197,2,999,0,nonexistent,no
47,technician,married,professional.course,no,no,no,telephone,may,fri,135,3,999,0,nonexistent,no
57,technician,married,basic.9y,no,no,no,cellular,jul,tue,94,1,999,0,nonexistent,no
37,entrepreneur,married,university.degree,no,yes,no,telephone,jun,fri,316,2,999,0,nonexistent,no
37,technician,married,professional.course,no,yes,no,cellular,jul,fri,314,2,999,0,nonexistent,no
47,blue-collar,married,unknown,unknown,yes,no,telephone,jun,mon,98,4,999,0,nonexistent,no
35,services,married,high.school,no,yes,no,telephone,jun,fri,582,11,999,0,nonexistent,no
32,services,married,professional.course,no,no,no,cellular,jun,wed,94,6,999,0,nonexistent,no
53,services,married,university.degree,no,no,no,telephone,may,fri,45,2,999,0,nonexistent,no
32,technician,married,professional.course,no,yes,no,cellular,aug,mon,187,3,999,0,nonexistent,no
26,admin.,single,high.school,no,yes,no,cellular,jul,fri,251,1,999,1,failure,yes
75,retired,married,unknown,no,no,no,cellular,sep,tue,191,1,999,1,failure,yes
41,admin.,married,high.school,no,no,no,telephone,may,fri,312,1,999,0,nonexistent,no
44,blue-collar,single,professional.course,no,no,no,cellular,may,mon,104,1,999,0,nonexistent,no
44,admin.,divorced,university.degree,no,yes,no,cellular,jul,thu,155,11,999,0,nonexistent,no
31,admin.,single,university.degree,no,unknown,unknown,cellular,oct,tue,192,1,3,1,success,yes
49,management,married,university.degree,no,no,yes,cellular,nov,tue,185,1,999,0,nonexistent,no
30,technician,divorced,high.school,no,no,no,cellular,aug,mon,205,3,999,0,nonexistent,no
32,admin.,single,university.degree,no,no,no,cellular,may,fri,800,5,999,0,nonexistent,no
50,admin.,married,university.degree,no,yes,no,cellular,nov,mon,183,1,3,1,success,yes
28,technician,single,university.degree,no,yes,no,cellular,apr,fri,73,1,999,1,failure,no
54,admin.,married,university.degree,unknown,yes,no,cellular,jul,mon,121,2,999,0,nonexistent,no
38,blue-collar,married,high.school,no,yes,yes,telephone,jun,mon,192,8,999,0,nonexistent,no
39,services,single,high.school,no,unknown,unknown,telephone,may,wed,239,2,999,0,nonexistent,no
36,admin.,single,high.school,no,yes,no,telephone,jul,thu,140,1,999,0,nonexistent,no
28,services,single,high.school,no,no,no,telephone,may,wed,72,3,999,0,nonexistent,no
40,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,160,4,999,0,nonexistent,no
31,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,mon,73,1,999,0,nonexistent,no
25,student,single,university.degree,no,no,no,telephone,may,thu,13,5,999,0,nonexistent,no
38,management,single,basic.9y,unknown,yes,no,cellular,nov,thu,972,2,999,0,nonexistent,no
52,admin.,married,university.degree,no,yes,yes,cellular,may,thu,250,1,3,5,success,yes
25,blue-collar,divorced,basic.9y,no,unknown,unknown,telephone,jun,mon,185,2,999,0,nonexistent,no
35,admin.,married,high.school,no,yes,no,cellular,may,thu,210,2,3,1,success,no
36,admin.,divorced,high.school,no,yes,yes,telephone,may,tue,124,1,999,0,nonexistent,no
31,technician,married,professional.course,no,yes,no,cellular,jun,tue,619,2,3,1,success,yes
42,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,tue,41,1,999,0,nonexistent,no
37,self-employed,married,professional.course,no,yes,yes,telephone,may,wed,268,1,999,0,nonexistent,no
33,admin.,single,university.degree,no,yes,no,cellular,may,wed,194,2,999,0,nonexistent,no
59,blue-collar,married,basic.4y,no,yes,no,cellular,aug,tue,258,1,999,0,nonexistent,no
61,retired,married,university.degree,no,no,no,cellular,sep,mon,350,1,3,2,success,yes
29,services,single,professional.course,no,yes,yes,cellular,aug,thu,99,3,999,0,nonexistent,no
29,admin.,single,professional.course,no,yes,no,cellular,may,tue,200,1,999,1,failure,no
