TransactionID,id_01,id_02,id_03,id_04,id_05,id_06,id_07,id_08,id_09,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30,id_31,id_32,id_33,id_34,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo
3394752,-20.0,564616.0,,,3.0,-9.0,,,,,100.0,NotFound,64.0,,Unknown,,225.0,15.0,417.0,507.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
3546261,-20.0,395214.0,,,0.0,-4.0,,,,,100.0,NotFound,27.0,,New,NotFound,225.0,,484.0,325.0,,,,,,,,New,NotFound,,chrome 66.0 for android,,,,F,F,T,F,mobile,D2306 Build/18.6.A.0.182
3100435,-15.0,,,,,,,,,,,Found,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3199320,-20.0,246865.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,427.0,610.0,,,,,,,,New,NotFound,,chrome 63.0,,,,F,F,T,F,desktop,Windows
3022991,-5.0,212569.0,,,4.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,153.0,595.0,,,,,,,,New,NotFound,,chrome 62.0,,,,F,F,T,T,desktop,
3283385,-5.0,139499.0,,,0.0,0.0,,,0.0,0.0,93.5500030517578,NotFound,33.0,,New,NotFound,225.0,,414.0,561.0,,,,,,,,Found,Found,,firefox 48.0,,,,F,F,T,F,desktop,rv:48.0
3423824,-5.0,172684.0,,,8.0,-8.0,,,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,15.0,352.0,500.0,,,,,,,,New,NotFound,iOS 11.2.6,mobile safari generic,32.0,2436x1125,match_status:1,T,F,F,F,mobile,iOS Device
3114332,0.0,119317.0,,,0.0,0.0,,,,,100.0,NotFound,,-300.0,New,NotFound,166.0,,100.0,535.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari 11.0,32.0,2048x1536,match_status:1,T,F,T,T,mobile,iOS Device
3089311,-5.0,182162.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,-300.0,New,NotFound,166.0,,529.0,549.0,,,,,,,,New,NotFound,Mac OS X 10_11_6,safari generic,24.0,2048x1280,match_status:2,T,F,F,T,desktop,MacOS
3387296,-5.0,109920.0,0.0,0.0,0.0,-41.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,15.0,417.0,417.0,,,,,,,,Found,Found,,firefox 59.0,,,,F,F,T,F,desktop,Windows
3043022,-5.0,111761.0,0.0,0.0,1.0,0.0,,,0.0,0.0,100.0,Found,52.0,-480.0,Found,Found,166.0,,548.0,222.0,,,,,,,,Found,Found,Windows 10,ie 11.0 for desktop,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Trident/7.0
3010335,-5.0,124763.0,,,5.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,166.0,13.0,100.0,549.0,,,,,,,,New,NotFound,,chrome 62.0,,,match_status:2,F,F,T,F,desktop,Windows
3071589,0.0,139468.0,,,3.0,-23.0,,,,,100.0,NotFound,,,New,NotFound,225.0,15.0,417.0,507.0,,,,,,,,New,NotFound,,chrome 63.0 for android,,,,F,F,T,T,mobile,SM-G935F Build/NRD90M
3092291,-5.0,144554.0,,,2.0,0.0,,,,,100.0,NotFound,49.0,-360.0,New,NotFound,166.0,15.0,352.0,500.0,,,,,,,,New,NotFound,iOS 11.2.1,mobile safari 11.0,32.0,2208x1242,match_status:1,T,F,F,F,mobile,iOS Device
3376178,-5.0,120676.0,0.0,0.0,0.0,-5.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,574.0,507.0,,,,,,,,Found,Found,,chrome 64.0,,,,F,F,T,F,desktop,Windows
3198519,-20.0,379323.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,,Unknown,,225.0,,146.0,507.0,,,,,,,,New,NotFound,,safari generic,,,,F,F,F,F,desktop,
3152367,0.0,207187.0,0.0,0.0,0.0,-7.0,,,0.0,0.0,100.0,NotFound,43.0,,Found,Found,225.0,,290.0,401.0,,,,,,,,Found,Found,,chrome 63.0 for android,,,,F,F,T,T,mobile,F5121 Build/34.3.A.0.252
3556696,-35.0,223074.0,,,0.0,0.0,,,,,100.0,NotFound,62.0,,Unknown,,121.0,,252.0,142.0,,,,,,,,New,NotFound,,chrome 66.0,,,,F,F,F,F,desktop,Windows
3485387,-10.0,136780.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,64.0,,Found,Found,225.0,,266.0,305.0,,,,,,,,Found,Found,,chrome generic for android,,,,F,F,T,F,mobile,Redmi Note 4 Build/NRD90M
