School_Id_Masked,Ben_Date,censored,Mixed_Demand,cluster_id
ZYD-CU8,12/29/2014,1,41.6,0
ZYD-CU8,3/7/2015,0,19.12,0
ZYD-CU8,6/8/2015,0,7.91,0
ZYD-CU8,6/11/2015,1,17.8,0
ZYD-CU8,6/15/2015,0,2.58,0
ZYD-CU8,6/25/2015,0,21.21,0
ZYD-CU8,8/24/2015,0,27.16,0
ZYD-CU8,12/5/2015,0,0.7,0
ZYD-CU8,1/13/2016,0,26.36,0
ZYD-CU8,3/26/2016,0,13,0
ZYD-CU8,4/19/2016,0,24.2,0
ZYD-CU8,6/7/2016,0,2.7,0
ZYD-CU8,6/8/2016,0,10.05,0
ZYD-CU8,7/12/2016,0,21.2,0
ZYD-CU8,7/15/2016,1,41.6,0
ZYD-CU8,7/18/2016,0,17.6,0
ZYD-CU8,7/20/2016,0,22.8,0
ZYD-CU8,7/26/2016,1,41.6,0
ZYD-CU8,7/29/2016,0,22.6,0
ZYD-CU8,8/27/2016,0,5.2,0
ZYD-CU8,10/2/2016,0,8.8,0
ZYD-CU8,10/18/2016,0,26.45,0
ZYD-CU8,10/26/2016,0,2.1,0
ZYD-CU7,12/15/2014,1,23.8,0
ZYD-CU7,12/19/2014,1,23.8,0
ZYD-CU7,7/27/2015,1,41.6,0
ZYD-CU7,7/31/2015,0,2.28,0
ZYD-CU7,8/24/2015,0,26.5,0
ZYD-CU7,8/25/2015,0,29.45,0
ZYD-CU7,12/26/2015,0,34.35,0
ZYD-CU7,1/21/2016,0,38.03,0
ZYD-CU7,2/13/2016,0,27.33,0
ZYD-CU7,3/26/2016,0,26.7,0
ZYD-CU7,6/6/2016,0,3.55,0
ZYD-CU7,6/14/2016,0,28.45,0
ZYD-CU7,7/2/2016,1,41.6,0
ZYD-CU7,7/12/2016,0,18.6,0
ZYD-CU7,7/15/2016,1,47.6,0
ZYD-CU7,7/18/2016,0,13.1,0
ZYD-CU7,7/26/2016,1,41.6,0
ZYD-CU7,7/29/2016,0,26.8,0
