Ben_Date,School_Id_Masked,Route_Index,V_rice_big,V_rice_med,V_rice_sma,W_rice_big,W_rice_med,W_rice_sma,censored,Total_Inventory_KG,Total_Returns_KG,Total_Consumption_KG,Mixed_Demand
6/8/2015,AXZ-CU1CU0,30,,,1,,,,1,7.2,0,7.2,7.2
6/10/2015,AXZ-CU1CU0,30,,,1,,,3.42,0,7.2,3.42,3.78,3.78
7/16/2015,AXZ-CU1CU1,30,1,1,,,4.92,,0,41.6,4.92,36.68,36.68
9/19/2015,AXZ-CU1CU1,30,1,1,,,12.68,,0,41.6,12.68,28.92,28.92
3/24/2015,AXZ-CU1CU3,30,1,,,15.65,,,0,23.8,15.65,8.15,8.15
6/8/2015,AXZ-CU1CU3,30,,,1,,,12.93,0,7.2,12.93,0,0
6/8/2015,AXZ-CU1CU4,30,,,1,,,8.29,0,7.2,8.29,0,0
7/3/2015,AXZ-CU1CU4,30,1,1,,,,,1,41.6,0,41.6,41.6
7/9/2015,AXZ-CU1CU4,30,1,1,,12.1,,,0,41.6,12.1,29.5,29.5
8/28/2015,AXZ-CU1CU4,30,,1,,,16.74,,0,17.8,16.74,1.06,1.06
6/8/2015,AXZ-CU1CU5,30,,,1,,,9.41,0,7.2,9.41,0,0
8/28/2015,AXZ-CU1CU5,30,,1,,,13.61,,0,17.8,13.61,4.19,4.19
4/2/2016,AXZ-CU1CU5,30,,1,1,,,3.5,0,25,3.5,21.5,21.5
6/10/2015,AXZ-CU1CU6,30,,1,,,4.41,,0,17.8,4.41,13.39,13.39
6/15/2015,AXZ-CU1CU6,30,,1,,,3.76,,0,17.8,3.76,14.04,14.04
12/5/2014,AXZ-CU1CU8,30,2,,,,,,1,47.6,0,47.6,47.6
1/30/2015,AXZ-CU1CU8,30,2,,,,,,1,47.6,0,47.6,47.6
1/31/2015,AXZ-CU1CU8,30,2,,,,,,1,47.6,0,47.6,47.6
3/20/2015,AXZ-CU1CU8,30,2,,,,,,1,47.6,0,47.6,47.6
7/16/2015,AXZ-CU1CU8,30,2,,,6.38,,,0,47.6,6.38,41.22,41.22
7/31/2015,AXZ-CU1CU8,30,2,,,20.15,,,0,47.6,20.15,27.45,27.45
8/28/2015,AXZ-CU1CU8,30,,1,,,14.52,,0,17.8,14.52,3.28,3.28
10/13/2015,AXZ-CU1CU8,30,2,,,10.17,,,0,47.6,10.17,37.43,37.43
1/20/2015,AXZ-CU2CU0,30,,1,,,16.08,,0,17.8,16.08,1.72,1.72
3/20/2015,AXZ-CU2CU0,30,,1,,,,,1,17.8,0,17.8,17.8
12/6/2014,AXZ-CU2CU1,30,1,,1,,,8.05,0,31,8.05,22.95,22.95
3/2/2015,AXZ-CU2CU1,30,1,,1,10.88,,,0,31,10.88,20.12,20.12
3/24/2015,AXZ-CU2CU1,30,1,,1,10.63,,,0,31,10.63,20.37,20.37
6/10/2015,AXZ-CU2CU1,30,,,1,,,2.67,0,7.2,2.67,4.53,4.53
6/26/2015,AXZ-CU2CU1,30,1,1,,,3.15,,0,41.6,3.15,38.45,38.45
3/20/2015,AXZ-CU2CU3,30,,2,,,12.85,,0,35.6,12.85,22.75,22.75
7/11/2015,AXZ-CU2CU3,30,,1,,,15.88,,0,17.8,15.88,1.92,1.92
1/8/2016,AXZ-CU2CU3,30,,2,,,14.15,,0,35.6,14.15,21.45,21.45
12/9/2014,AXZ-CU5,30,,1,,,,,1,17.8,0,17.8,17.8
7/28/2015,AXZLL,20,10,10,,68.04,47.16,,0,416,115.2,300.8,300.8
7/28/2015,AXZLL,21,8,12,,45.36,62.8,,0,404,108.16,295.84,295.84
7/28/2015,AXZLL,22,3,10,1,67.5,155,12.36,0,256.6,234.86,21.74,21.74
