school_id_masked,ben_date,censored,mixed_demand,cluster_id,tot_enrol,s_1_5_boys,s_1_5_girls,s_6_8_boys,s_6_8_girls,loc_type,school_grp,Month,Day,Week,Year,lag1_grp_mnth_dd,lag2_grp_mnth_dd,lag3_grp_mnth_dd,prop_grp_mnth_dd,prop_grp_boys15,prop_grp_girls15,prop_grp_boys68,prop_grp_girls68,prop_wk_boys15,prop_wk_girls15,prop_wk_boys68,prop_wk_girls68,true_demand
ZYD-CU8,12/29/2014,1,41.6,0,515,174,120,129,92,Urban,ZYD,12,29,53,2014,0,0,0,0.11,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,49.98
ZYD-CU8,3/7/2015,0,19.12,0,515,174,120,129,92,Urban,ZYD,3,7,10,2015,9.24,81.36,89.2,0.05,0.02,0.02,0.02,0.02,0.03,0.04,0.03,0.04,19.12
ZYD-CU8,6/8/2015,0,7.91,0,515,174,120,129,92,Urban,ZYD,6,8,24,2015,0,0,34.74,0.13,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,7.91
ZYD-CU8,6/11/2015,1,17.8,0,515,174,120,129,92,Urban,ZYD,6,11,24,2015,0,0,34.74,0.13,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,32.75
ZYD-CU8,6/15/2015,0,2.58,0,515,174,120,129,92,Urban,ZYD,6,15,25,2015,0,0,34.74,0.13,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,2.58
ZYD-CU8,6/25/2015,0,21.21,0,515,174,120,129,92,Urban,ZYD,6,25,26,2015,0,0,34.74,0.13,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,21.21
ZYD-CU8,8/24/2015,0,27.16,0,515,174,120,129,92,Urban,ZYD,8,24,35,2015,98.39,139.14,0,0.14,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,27.16
ZYD-CU8,12/5/2015,0,0.7,0,515,174,120,129,92,Urban,ZYD,12,5,49,2015,9.96,17.8,0,0.11,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.70
ZYD-CU8,1/13/2016,0,26.36,0,515,174,120,129,92,Urban,ZYD,1,13,3,2016,72.44,9.96,17.8,0.10,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,26.36
ZYD-CU8,3/26/2016,0,13,0,515,174,120,129,92,Urban,ZYD,3,26,13,2016,27.33,66.01,72.44,0.05,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,13.00
ZYD-CU8,4/19/2016,0,24.2,0,515,174,120,129,92,Urban,ZYD,4,19,17,2016,39.7,27.33,66.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,24.20
ZYD-CU8,6/7/2016,0,2.7,0,515,174,120,129,92,Urban,ZYD,6,7,24,2016,0,24.2,39.7,0.13,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,2.70
ZYD-CU8,6/8/2016,0,10.05,0,515,174,120,129,92,Urban,ZYD,6,8,24,2016,0,24.2,39.7,0.13,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,10.05
ZYD-CU8,7/12/2016,0,21.2,0,515,174,120,129,92,Urban,ZYD,7,12,29,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,21.20
ZYD-CU8,7/15/2016,1,41.6,0,515,174,120,129,92,Urban,ZYD,7,15,29,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,49.98
ZYD-CU8,7/18/2016,0,17.6,0,515,174,120,129,92,Urban,ZYD,7,18,30,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,17.60
ZYD-CU8,7/20/2016,0,22.8,0,515,174,120,129,92,Urban,ZYD,7,20,30,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,22.80
ZYD-CU8,7/26/2016,1,41.6,0,515,174,120,129,92,Urban,ZYD,7,26,31,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,49.98
ZYD-CU8,7/29/2016,0,22.6,0,515,174,120,129,92,Urban,ZYD,7,29,31,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,22.60
ZYD-CU8,8/27/2016,0,5.2,0,515,174,120,129,92,Urban,ZYD,8,27,35,2016,356.7,44.75,0,0.14,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,5.20
ZYD-CU8,10/2/2016,0,8.8,0,515,174,120,129,92,Urban,ZYD,10,2,41,2016,0,33.4,356.7,0.09,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,8.80
ZYD-CU8,10/18/2016,0,26.45,0,515,174,120,129,92,Urban,ZYD,10,18,43,2016,0,33.4,356.7,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,26.45
ZYD-CU8,10/26/2016,0,2.1,0,515,174,120,129,92,Urban,ZYD,10,26,44,2016,0,33.4,356.7,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.10
ZYD-CU7,12/15/2014,1,23.8,0,406,124,115,88,79,Urban,ZYD,12,15,51,2014,0,0,0,0.11,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,36.08
ZYD-CU7,12/19/2014,1,23.8,0,406,124,115,88,79,Urban,ZYD,12,19,51,2014,0,0,0,0.11,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,36.08
ZYD-CU7,7/27/2015,1,41.6,0,406,124,115,88,79,Urban,ZYD,7,27,31,2015,139.14,0,0,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,49.98
ZYD-CU7,7/31/2015,0,2.28,0,406,124,115,88,79,Urban,ZYD,7,31,31,2015,139.14,0,0,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,2.28
ZYD-CU7,8/24/2015,0,26.5,0,406,124,115,88,79,Urban,ZYD,8,24,35,2015,98.39,139.14,0,0.14,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,26.50
ZYD-CU7,8/25/2015,0,29.45,0,406,124,115,88,79,Urban,ZYD,8,25,35,2015,98.39,139.14,0,0.14,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,29.45
ZYD-CU7,12/26/2015,0,34.35,0,406,124,115,88,79,Urban,ZYD,12,26,52,2015,9.96,17.8,0,0.11,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,34.35
ZYD-CU7,1/21/2016,0,38.03,0,406,124,115,88,79,Urban,ZYD,1,21,4,2016,72.44,9.96,17.8,0.10,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,38.03
ZYD-CU7,2/13/2016,0,27.33,0,406,124,115,88,79,Urban,ZYD,2,13,7,2016,66.01,72.44,9.96,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,27.33
ZYD-CU7,3/26/2016,0,26.7,0,406,124,115,88,79,Urban,ZYD,3,26,13,2016,27.33,66.01,72.44,0.05,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,26.70
ZYD-CU7,6/6/2016,0,3.55,0,406,124,115,88,79,Urban,ZYD,6,6,24,2016,0,24.2,39.7,0.13,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,3.55
ZYD-CU7,6/14/2016,0,28.45,0,406,124,115,88,79,Urban,ZYD,6,14,25,2016,0,24.2,39.7,0.13,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,28.45
