Station Names,Station Code,degree,betweenness,closeness,eigen,degree_random,betweenness_random,closeness_random,eigen_random,degree_watts_strogatz,betweenness_watts_strogatz,closeness_watts_strogatz,eigen_watts_strogatz,degree_ba,betweenness_ba,closeness_ba,eigen_ba
Airoli,AIRL,2,635.5,0.000589275,0.010871145,2.09,197.8496851,0.000327963,0.009026335,2.03,994.5683333,0.00029582,0.009650108,7.77,3011.74,0.002482996,0.048819591
Ambernath,ABH,2,1122,0.00043956,1.06276E-05,1.98,187.5572183,0.000308587,0.008845953,1.95,968.94,0.000292584,0.008661554,9.07,3412.12,0.002544429,0.060294847
Ambivili,ABY,2,936,0.000455166,2.12612E-05,2.01,172.7195,0.000316605,0.008825768,2.01,1015.318333,0.000295152,0.008297779,6.78,2501.15,0.002378188,0.042817305
Andheri,ADH,2,1932,0.000518941,6.56602E-05,2.14,208.2463532,0.000314884,0.010565205,2.03,1070.776667,0.000296417,0.009119107,5.72,1902.76,0.002272293,0.035261187
Asangaon,ASO,2,540,0.000385654,1.327E-06,2.07,187.929149,0.000316966,0.010442295,1.99,1072.103333,0.000294296,0.006549793,4.97,1342.6,0.002146925,0.026410687
Atgaon,ATG,2,436,0.000370782,6.62826E-07,2,155.0854369,0.000330498,0.008394699,1.99,1024.573333,0.000292757,0.006054178,4.77,1204.33,0.002124403,0.026156016
Badlapur,BUD,2,1030,0.000422476,5.31229E-06,2.15,191.6354311,0.000336166,0.010132155,1.99,1031.353333,0.000290773,0.005111899,4.37,1062.61,0.002055919,0.021363462
Bandra,BDTS,2,2200,0.000602773,0.001051754,1.88,146.8085087,0.00030827,0.007287697,1.99,1013.768333,0.000289263,0.005302063,4.17,989.8,0.002071819,0.020706674
Belapur CBD,BAP,2,436,0.000493827,0.019275569,2.24,207.8776923,0.000317956,0.00962926,2.03,997.66,0.00029095,0.005623101,3.5,740.96,0.001938629,0.015015265
Bhandup,BND,2,2227.5,0.000634115,0.001180367,2.15,176.6813813,0.000325893,0.009289897,1.99,1036.196667,0.000293273,0.00731107,3.69,746.01,0.001968969,0.018296689
Bhayander,BYR,2,1212,0.000377786,1.27916E-07,2.1,168.1521205,0.000319773,0.008994857,1.99,1041.371667,0.000292206,0.00746521,3.47,641.22,0.00193709,0.017090283
Bhivpuri,BVS,2,642,0.000362976,3.31622E-07,2.01,189.4750736,0.000304876,0.008780579,2.05,1101.911667,0.000291996,0.007176585,3.68,761.02,0.001949455,0.016486352
Borivali,BVI,2,1470,0.000418585,1.0242E-06,2.09,223.8676714,0.000305066,0.008237561,2.02,1066.926667,0.000294786,0.0068812,2.8,453.45,0.001878691,0.012857251
Boisar,BOR,2,222,0.000274952,1.22622E-10,2.1,181.8919286,0.000320415,0.008431583,1.99,1029.226667,0.000292295,0.007026388,3.49,609.02,0.001894857,0.015182022
Byculla,BY,2,202.1666667,0.000529381,0.000333927,1.97,139.6411944,0.000326655,0.007795368,1.97,1010.043333,0.000290241,0.005846059,3.32,567.73,0.001890304,0.01385211
Charni Rd,CYR,2,222,0.000470588,6.23359E-05,2.32,222.5104113,0.000329998,0.010083256,2,1088.188333,0.000292004,0.008480134,2.89,444.7,0.0018343,0.01156407
Chembur,CMBR,2,917.5,0.000622278,0.011253129,1.82,142.2476807,0.000310696,0.007698482,1.96,1102.916667,0.000289333,0.008046041,2.79,396.14,0.001872601,0.013645858
Chinchpokli,CHG,2,296.3333333,0.000557103,0.000546779,1.95,173.5213074,0.00031087,0.008452912,2,1128.373333,0.000293497,0.008759626,2.69,396.71,0.001798785,0.011096863
Chunabhatti,CHF,2,1334.666667,0.000671592,0.004647967,2.09,196.2483571,0.000324344,0.007298776,1.98,1101.546667,0.000287108,0.008224795,2.65,344.85,0.00178745,0.010010894
Churchgate,CCG,1,0,0.000426076,1.18687E-05,2.05,166.4083203,0.000330145,0.008054548,1.99,1166.14,0.000295728,0.010037035,2.44,268.68,0.001805002,0.010475747
Cotton Green,CTGN,2,344,0.000577701,0.000589574,2.11,185.0239307,0.000324813,0.00708824,2.02,1216.245,0.000299823,0.010841483,2.67,360.82,0.00179714,0.011391526
Currey Road,CRD,2,392,0.000588582,0.001033252,2.08,186.0453828,0.00032612,0.009335153,2.02,1207.866667,0.000304231,0.010346759,2.54,326.94,0.001765271,0.010037426
Dadar,DDR,4,2285.833333,0.00066357,0.004059591,1.92,163.1689087,0.000317616,0.009038433,2.02,1204.713333,0.000305302,0.009519481,2.64,335.68,0.001789496,0.009723693
Dahisar,DIC,2,1386,0.000404367,5.11954E-07,1.84,149.4302056,0.000287857,0.006962017,1.96,1183.343333,0.000296976,0.008435391,2.32,292.01,0.001698396,0.00800929
Dahanu Road,DRD,1,0,0.000259134,2.3347E-11,2.08,162.0679242,0.000318388,0.009213974,2,1201.545,0.000298595,0.007943815,2.45,258.04,0.001766068,0.009758356
Diva,DIVA,2,2436,0.00056338,0.0009108,2.08,194.9260505,0.000323792,0.009185685,2.02,1211.91,0.000299424,0.007333338,2.43,259.22,0.001714729,0.007623866
Dockyard Road,DKRD,2,170.1666667,0.000524934,0.000249451,1.76,117.1408885,0.000325339,0.005934943,1.99,1175.333333,0.000295592,0.006622009,2.22,228.41,0.001752501,0.010597469
Dolavi,DOLVI,2,222,0.000314961,2.03812E-08,1.89,151.6064924,0.000326788,0.006309449,1.94,1169.116667,0.000294936,0.005762004,2.22,233.07,0.001723825,0.008838891
Dombivili,DCTL,2,2322,0.000529381,0.000234211,2.22,195.4719336,0.000329761,0.00905109,1.96,1139.945833,0.000291763,0.006115465,2.21,209.53,0.00172175,0.008776326
Elphinstone rd,EPR,2,742,0.000623053,0.002029197,2.06,202.827092,0.000325538,0.010642223,2.03,1174.568333,0.000296147,0.007322175,2.05,200.41,0.00171931,0.00882395
Ghansoli,GNSL,2,587.5,0.000573066,0.038896889,2.23,226.4893348,0.000322939,0.009855181,1.97,1132.223333,0.000294131,0.006651691,1.81,157.19,0.001694032,0.007169988
Ghatkopar,GC,2,2293.5,0.000661813,0.002319735,1.93,132.4722641,0.00031903,0.007280553,2,1202.485,0.000297199,0.007980132,2.14,163.37,0.001741754,0.010010407
Goregaon,GNO,2,1710,0.000465333,8.20055E-06,1.95,150.7010722,0.000322465,0.009299696,2.03,1256.376667,0.000297803,0.008501629,2.14,188.02,0.00173641,0.009428254
Govandi,GV,2,887.5,0.000616903,0.020093649,2.22,210.6035231,0.000318428,0.010510743,2.02,1254.17,0.000298003,0.007911875,1.98,147.85,0.001649959,0.007062996
Grant Rd,GTR,2,330,0.000495786,0.000126189,1.93,144.8744087,0.000308625,0.007006777,2.03,1246.515,0.000291668,0.009083715,1.97,171.8,0.001658889,0.007182781
GTB Nagar,GTBN,2,1303.833333,0.000655738,0.002761714,2.05,174.7407713,0.000320262,0.008559421,1.98,1169.283333,0.000285417,0.006118381,1.91,157.93,0.001673316,0.007498528
Jogeshwari,JOS,2,1860,0.00050025,3.28208E-05,1.9,136.2988333,0.000321396,0.008160063,1.99,1133.783333,0.000282912,0.006154778,1.84,133.29,0.001633196,0.006303871
Juinagar,JNJ,3,742,0.000581734,0.154483744,2.5,222.7779113,0.000332448,0.011165111,2.02,1138.748333,0.000282858,0.006858069,1.95,163.89,0.001725231,0.009468975
Kalwa,KLVA,2,2542,0.000599161,0.003638627,2.17,187.2819012,0.00032377,0.011274028,2,1128.103333,0.00028356,0.009529606,1.81,119.3,0.001661502,0.007381302
Kalyan,KYN,3,2354,0.000497265,8.5093E-05,1.99,160.9415162,0.00030307,0.008889977,2.02,1124.708333,0.000289554,0.010546887,1.91,142.32,0.001655883,0.007149364
Kandivali,KLE,2,1552,0.000433463,2.04898E-06,2.18,193.7329567,0.000323653,0.010747394,2,1099.508333,0.000286146,0.008729417,1.79,128.57,0.001625855,0.006166675
Kanjurmarg,KJMG,2,2241.5,0.000639795,0.001003623,2.02,181.1498424,0.000328524,0.009163959,1.94,1024.256667,0.000284269,0.007510114,1.91,136.67,0.001657277,0.006817548
Karjat,KJT,2,540,0.000350018,1.65734E-07,1.87,135.4115779,0.000307492,0.007181682,2,1061.063333,0.00028389,0.010194052,1.61,86.5,0.001615815,0.005813129
Kasara,KSRA,1,0,0.000319183,3.10709E-08,2.08,174.3456613,0.00031434,0.008576246,2.07,1097.613333,0.000286256,0.013016868,1.82,122.85,0.001654686,0.006619077
Kelavi,KLY,2,330,0.000326052,4.12586E-08,1.83,151.9119444,0.000324441,0.007858316,1.97,1062.496667,0.000286774,0.010310656,1.85,129.25,0.00168593,0.00743352
Kelve Road,KLV,2,540,0.000301296,9.97122E-10,2.29,228.7380029,0.000338654,0.009914195,2,1083.39,0.000286108,0.010352045,1.71,89.98,0.001666681,0.006657834
Khadavli,KDV,2,742,0.000418235,5.31221E-06,2.05,177.7590722,0.000313861,0.008017468,2.02,1104.236667,0.00029263,0.011767112,1.69,115.88,0.001623141,0.006208651
Khandeshwar,KNDS,2,112,0.000425713,0.002259307,1.9,144.2573315,0.000320434,0.007750706,2.01,1132.231667,0.000292741,0.011968,1.69,103.81,0.001645584,0.007158741
Khar Road,KHAR,2,2136,0.000580383,0.000525728,2.1,175.6136865,0.000321734,0.007823116,2.01,1157.573333,0.00029632,0.012245767,1.71,106.98,0.00166066,0.007657199
Khardi,KE,2,222,0.000343525,1.63188E-07,2.13,178.7144196,0.000344082,0.00651611,2.01,1193.936667,0.000298476,0.010997828,1.7,95.5,0.001628188,0.006893096
