Date,WIPRO,TCS,HCLTECH
1-Apr-16,562.15,2453.9,820.4
4-Apr-16,566.25,2471.25,839.85
5-Apr-16,559,2462.75,843.25
6-Apr-16,558.2,2481.9,838.75
7-Apr-16,551.8,2470.8,828.45
8-Apr-16,549.55,2432.05,833.1
11-Apr-16,565.75,2506.65,839.3
12-Apr-16,569.55,2518.15,839.65
13-Apr-16,584.9,2526.2,837.55
18-Apr-16,588.6,2519.75,853.3
20-Apr-16,601.25,2450.35,841.2
21-Apr-16,558.85,2424.4,846.25
22-Apr-16,557.95,2417.05,845.15
25-Apr-16,552.45,2451.25,845.1
26-Apr-16,554.45,2489.8,849.8
27-Apr-16,560,2511.1,837.55
28-Apr-16,553.1,2527.75,799.9
29-Apr-16,554.35,2535.5,750.3
2-May-16,548.5,2526.7,742.2
3-May-16,543.85,2478.1,728.4
4-May-16,540,2478,737.1
5-May-16,543.1,2470.3,732.9
6-May-16,533.1,2473.4,722.6
9-May-16,539,2512.55,721.4
10-May-16,538.65,2522.9,718.8
11-May-16,537.8,2518.3,708.75
12-May-16,542.3,2566.2,714.7
13-May-16,539.65,2523.4,723.15
16-May-16,540.8,2551.15,718.95
17-May-16,540.15,2570.2,732.3
18-May-16,539.55,2551.1,742.25
19-May-16,542.95,2556.95,730.1
20-May-16,543.4,2529.3,736.65
23-May-16,539.85,2491.45,733.55
24-May-16,537.65,2467.7,739.25
25-May-16,546.1,2526.45,749.35
26-May-16,544.95,2548.7,740.9
27-May-16,545.4,2572.65,757.6
30-May-16,550.15,2636.4,747.55
31-May-16,545.45,2569.4,739.8
1-Jun-16,554.5,2633.55,734.55
2-Jun-16,540.4,2650.15,721.35
3-Jun-16,540.8,2629.55,721.9
6-Jun-16,535.1,2612.5,724.6
7-Jun-16,539.85,2631.15,726.7
8-Jun-16,544.6,2613.1,743.5
9-Jun-16,544.8,2577.25,753.05
10-Jun-16,545.35,2555.75,751.05
13-Jun-16,541.2,2547,753.65
14-Jun-16,543.1,2534.85,752.4
15-Jun-16,547.05,2556.85,755.2
16-Jun-16,549.9,2558.3,751.7
17-Jun-16,552.05,2602.6,753.65
20-Jun-16,557.05,2659.3,770.65
21-Jun-16,561,2651.2,770.1
22-Jun-16,563.15,2667.65,770.45
23-Jun-16,563.7,2645.35,769.8
24-Jun-16,555.15,2573.95,741.85
27-Jun-16,548,2495.85,735.05
28-Jun-16,542.4,2463.95,713.2
29-Jun-16,554.55,2502.9,728.45
30-Jun-16,557.95,2553.1,730.45
1-Jul-16,558.9,2500.85,731.7
4-Jul-16,561.7,2494.2,748.35
5-Jul-16,564.95,2485.3,738.4
7-Jul-16,559.6,2429.8,717.1
8-Jul-16,561.65,2426.6,721.85
11-Jul-16,568.85,2464.15,716.8
12-Jul-16,570.8,2464.95,721.35
13-Jul-16,573.95,2493.1,720
14-Jul-16,570.6,2521.9,728.25
15-Jul-16,554.5,2445.35,717.5
18-Jul-16,551.95,2433.45,722.5
19-Jul-16,549.25,2466.2,730.15
20-Jul-16,538.85,2494.95,730
21-Jul-16,542,2506.05,723.55
22-Jul-16,537.75,2515.1,729.2
25-Jul-16,542.85,2558.95,740.4
26-Jul-16,546.1,2552.6,745.25
27-Jul-16,549.15,2577.55,753.5
28-Jul-16,553.8,2619.25,750.8
29-Jul-16,545.05,2619.3,752.95
1-Aug-16,557.7,2708.25,780.45
2-Aug-16,549.6,2699.2,800.75
3-Aug-16,547.95,2656.3,826.15
4-Aug-16,548.2,2652,823.85
5-Aug-16,547.2,2649.1,821.75
8-Aug-16,549,2649.5,819.1
9-Aug-16,551.35,2650.2,816.85
10-Aug-16,542.65,2675.4,818.15
11-Aug-16,543,2709.9,824.55
12-Aug-16,543.75,2738.45,814.2
16-Aug-16,536.5,2691.7,792.35
17-Aug-16,527.8,2624.55,784.55
18-Aug-16,525.1,2638.55,785.8
19-Aug-16,520.1,2603.5,781.85
22-Aug-16,515.5,2548.7,772.25
23-Aug-16,519.6,2601.05,791
24-Aug-16,519.65,2572.05,790.35
25-Aug-16,504,2551.05,798.05
26-Aug-16,490,2524.95,778.75
29-Aug-16,478.8,2500.55,755.1
30-Aug-16,489.45,2544.15,773.9
31-Aug-16,491.65,2511.3,778.55
1-Sep-16,483.95,2507.5,783.8
2-Sep-16,483.6,2514.8,784.55
6-Sep-16,482.9,2484.05,785.6
7-Sep-16,481.75,2440.55,787.1
8-Sep-16,473.95,2322.1,773.95
9-Sep-16,480.65,2352.45,780.55
12-Sep-16,480.4,2359.05,782.7
14-Sep-16,478.05,2328.45,776.35
15-Sep-16,478.45,2326.95,779
16-Sep-16,479.4,2361.7,786.35
19-Sep-16,479.95,2411.45,789.05
20-Sep-16,481.05,2406.5,792.05
21-Sep-16,483.85,2413.4,792.6
22-Sep-16,481.75,2378,788.85
23-Sep-16,480.2,2398.1,797.25
26-Sep-16,479.3,2401.1,788.95
27-Sep-16,484.2,2436.1,795.85
28-Sep-16,483.7,2423.05,796.3
29-Sep-16,472.2,2437.8,791.05
30-Sep-16,478.95,2430.8,799.9
3-Oct-16,478.95,2411.7,808.6
4-Oct-16,481.8,2405.15,818.15
5-Oct-16,479.55,2386.35,816
6-Oct-16,478,2388.75,801.55
7-Oct-16,476.95,2367.8,806.55
10-Oct-16,477,2380.3,813
13-Oct-16,478.25,2328.9,803.3
14-Oct-16,475,2366.2,812.7
17-Oct-16,472.15,2362.45,808.4
18-Oct-16,482.75,2400.2,834.8
19-Oct-16,495,2395.1,830.55
20-Oct-16,495.4,2401.15,815.55
21-Oct-16,499.2,2428.65,831.75
24-Oct-16,483.95,2427.7,810.65
25-Oct-16,481.4,2398.45,804.55
26-Oct-16,471.55,2396.25,790.85
27-Oct-16,461.7,2418.1,774.3
28-Oct-16,462.1,2398.7,763.15
30-Oct-16,464.4,2391.05,767.75
1-Nov-16,460.75,2350,772.9
2-Nov-16,457.9,2304.05,764.3
3-Nov-16,447.6,2319.45,763.1
4-Nov-16,452.5,2330.55,794.75
7-Nov-16,450,2277.05,817.2
8-Nov-16,451.75,2283.2,809
9-Nov-16,446.9,2169.85,784.85
10-Nov-16,444.95,2155.45,789.65
11-Nov-16,442.35,2101.15,764.1
15-Nov-16,447.95,2121.3,770.75
16-Nov-16,445.3,2189.6,773.85
17-Nov-16,438.4,2137.2,760.15
18-Nov-16,437.15,2125.1,763.85
21-Nov-16,441.8,2132.9,758.35
22-Nov-16,450.4,2135,762.1
23-Nov-16,448.9,2156.35,763.45
