Date,Series,WIPRO_Close_Price,TCS_Close_Price,HCLTECH_Close_Price
4/1/2016,EQ,562.15,2453.9,820.4
5/2/2016,EQ,548.5,2526.7,742.2
6/1/2016,EQ,554.5,2633.55,734.55
7/1/2016,EQ,558.9,2500.85,731.7
8/1/2016,EQ,557.7,2708.25,780.45
9/1/2016,EQ,483.95,2507.5,783.8
10/3/2016,EQ,478.95,2411.7,808.6
11/1/2016,EQ,460.75,2350,772.9
12/1/2016,EQ,468.3,2263.45,803.1
1/2/2017,EQ,471.55,2361.35,828.5
2/1/2017,EQ,456,2167.9,813.95
3/1/2017,EQ,488.55,2479.55,849.1
4/3/2017,EQ,507.1,2411.7,866.25
5/2/2017,EQ,494.9,2289.9,822.05
6/1/2017,EQ,541.15,2553.6,862.25
7/3/2017,EQ,259.6,2373.6,838.15
8/1/2017,EQ,294.8,2501.65,884.2
9/1/2017,EQ,296.45,2456.45,865.75
10/3/2017,EQ,282.95,2448.45,882.55
11/1/2017,EQ,293.55,2602.85,840.65
12/1/2017,EQ,289.4,2629.95,830
1/1/2018,EQ,316.55,2645.6,878.7
2/1/2018,EQ,300.75,3138.6,984.9
3/1/2018,EQ,292.5,3037.7,942.8
4/2/2018,EQ,289.65,2909.65,979.5
5/2/2018,EQ,275.55,3499.75,1000.5
6/1/2018,EQ,260.6,1732.45,904.85
7/2/2018,EQ,260.6,1851.35,926.1
8/1/2018,EQ,277.35,1976.5,978.65
9/3/2018,EQ,308.35,2052.9,1049.15
10/1/2018,EQ,330.15,2255.55,1098.4
11/1/2018,EQ,329.65,1935.75,1008.9
12/3/2018,EQ,328.25,1982.4,1018.2
1/1/2019,EQ,326.65,1902.8,959.85
2/1/2019,EQ,371.55,2029.95,1043.85
3/1/2019,EQ,375.7,1995.4,1052.6
4/1/2019,EQ,261.65,2031.65,1110.75
5/2/2019,EQ,293.65,2215.4,1160.05
6/3/2019,EQ,291.3,2242.3,1115.2
7/1/2019,EQ,282,2239.55,1049.1
8/1/2019,EQ,270.4,2180.05,1021.55
9/3/2019,EQ,253.65,2251.6,1108.35
10/1/2019,EQ,233.5,2059.95,1059.55
11/1/2019,EQ,258.6,2200.9,1152
12/2/2019,EQ,238.6,2021.05,1125.3
1/1/2020,EQ,247.7,2167.6,571.95
2/1/2020,EQ,236.8,2164.85,590.9
3/2/2020,EQ,220.8,2001.3,549.7
4/1/2020,EQ,189.5,1708.75,413.55
5/4/2020,EQ,190.05,1930.45,514.25
6/1/2020,EQ,215.05,2045.25,559.75
7/1/2020,EQ,219.05,2092.05,551.75
8/3/2020,EQ,281.55,2254.15,705.95
9/1/2020,EQ,271.6,2246.35,689.6
10/1/2020,EQ,313.05,2523.45,812.95
11/2/2020,EQ,334.8,2604.6,822.4
12/1/2020,EQ,352.85,2726.8,834.1
1/1/2021,EQ,388.1,2928.25,950.5
2/1/2021,EQ,421.5,3139.35,928.35
3/1/2021,EQ,414.4,2924.2,930.35
