Date,Series,WIPRO_Close_Price,TCS_Close_Price,HCLTECH_Close_Price
4/1/2016,EQ,562.15,2453.9,820.4
4/8/2016,EQ,549.55,2432.05,833.1
4/22/2016,EQ,557.95,2417.05,845.15
4/29/2016,EQ,554.35,2535.5,750.3
5/6/2016,EQ,533.1,2473.4,722.6
5/13/2016,EQ,539.65,2523.4,723.15
5/20/2016,EQ,543.4,2529.3,736.65
5/27/2016,EQ,545.4,2572.65,757.6
6/3/2016,EQ,540.8,2629.55,721.9
6/10/2016,EQ,545.35,2555.75,751.05
6/17/2016,EQ,552.05,2602.6,753.65
6/24/2016,EQ,555.15,2573.95,741.85
7/1/2016,EQ,558.9,2500.85,731.7
7/8/2016,EQ,561.65,2426.6,721.85
7/15/2016,EQ,554.5,2445.35,717.5
7/22/2016,EQ,537.75,2515.1,729.2
7/29/2016,EQ,545.05,2619.3,752.95
8/5/2016,EQ,547.2,2649.1,821.75
8/12/2016,EQ,543.75,2738.45,814.2
8/19/2016,EQ,520.1,2603.5,781.85
8/26/2016,EQ,490,2524.95,778.75
9/2/2016,EQ,483.6,2514.8,784.55
9/9/2016,EQ,480.65,2352.45,780.55
9/16/2016,EQ,479.4,2361.7,786.35
9/23/2016,EQ,480.2,2398.1,797.25
9/30/2016,EQ,478.95,2430.8,799.9
10/7/2016,EQ,476.95,2367.8,806.55
10/14/2016,EQ,475,2366.2,812.7
10/21/2016,EQ,499.2,2428.65,831.75
10/30/2016,EQ,464.4,2391.05,767.75
11/4/2016,EQ,452.5,2330.55,794.75
11/11/2016,EQ,442.35,2101.15,764.1
11/18/2016,EQ,437.15,2125.1,763.85
11/25/2016,EQ,464.75,2300.35,801.95
12/2/2016,EQ,460.4,2221.85,793.6
12/9/2016,EQ,458.1,2195.25,803.3
12/16/2016,EQ,463.5,2282.65,820.6
12/23/2016,EQ,458.75,2288.1,793.75
12/30/2016,EQ,474.45,2365.55,827.95
1/6/2017,EQ,469.95,2281.4,814.4
1/13/2017,EQ,484.65,2249.3,850.25
1/20/2017,EQ,477.9,2285.35,838.75
1/27/2017,EQ,465.55,2357.8,844.2
2/3/2017,EQ,457.75,2232.55,830.75
2/10/2017,EQ,469.25,2397.95,828.4
2/17/2017,EQ,475.35,2407.9,839.25
2/23/2017,EQ,486.1,2481.8,842.85
3/3/2017,EQ,493.85,2494.05,852.9
3/10/2017,EQ,487.05,2542.25,846.35
3/17/2017,EQ,504.25,2525.75,865.75
3/24/2017,EQ,513.25,2427.2,873.05
3/31/2017,EQ,515.7,2431.8,874.75
4/7/2017,EQ,511.9,2429.05,849.3
4/13/2017,EQ,495.4,2328.65,809.1
4/21/2017,EQ,491.25,2310.8,812.75
4/28/2017,EQ,494.25,2273.15,814.1
5/5/2017,EQ,499.3,2320.5,829.6
5/12/2017,EQ,507.05,2360.65,847.65
5/19/2017,EQ,519.75,2507.15,844.7
5/26/2017,EQ,539,2578.25,859.1
6/2/2017,EQ,551.65,2564.9,857.9
6/9/2017,EQ,536.95,2507,860.75
6/16/2017,EQ,255.25,2399.7,839
6/23/2017,EQ,256.85,2361.7,851.85
6/30/2017,EQ,258.35,2362.35,850.9
7/7/2017,EQ,257.7,2331.95,831.9
7/14/2017,EQ,259.85,2397.45,850.35
7/21/2017,EQ,286.05,2491.2,904.95
7/28/2017,EQ,289.05,2484.3,893.1
8/4/2017,EQ,289.4,2522.8,890.65
8/11/2017,EQ,289.7,2496.05,872.3
8/18/2017,EQ,288.1,2513.8,876.25
8/24/2017,EQ,289.4,2496.6,867.5
9/1/2017,EQ,296.45,2456.45,865.75
9/8/2017,EQ,300.5,2470.6,859.5
