Iter,Train_AIC,Train_R2,Train_LL,Train_F1-Score_Good,Train_Sensitivity_Good,Train_F1-Score_Bad,Train_Specificity_Bad,Test_F1-Score_Good,Test_Sensitivity_Good,Test_F1-Score_Bad,Test_Specificity_Bad
1,652.47,0.1167,-322.24,0.801,0.79,0.506,0.524,0.765,0.747,0.417,0.444
2,635.87,0.1422,-312.94,0.83,0.764,0.433,0.606,0.812,0.745,0.391,0.552
3,616.75,0.1766,-300.38,0.844,0.788,0.513,0.658,0.824,0.781,0.51,0.6
4,609.20,0.1897,-295.6,0.845,0.794,0.53,0.658,0.811,0.768,0.474,0.562
5,599.24,0.2061,-289.62,0.846,0.794,0.532,0.664,0.813,0.769,0.476,0.568
6,601.24,0.2061,-289.62,0.846,0.794,0.532,0.664,0.813,0.769,0.476,0.568
7,599.40,0.2086,-288.7,0.846,0.794,0.532,0.664,0.813,0.769,0.476,0.568
8,598.75,0.2095,-288.38,0.846,0.794,0.532,0.664,0.813,0.769,0.476,0.568
9,600.79,0.2067,-289.39,0.846,0.794,0.532,0.664,0.813,0.769,0.476,0.568
10,598.86,0.2094,-288.43,0.846,0.794,0.532,0.664,0.813,0.769,0.476,0.568
11,592.07,0.2214,-284.04,0.85,0.806,0.565,0.669,0.825,0.796,0.547,0.604
12,586.70,0.2343,-279.35,0.852,0.81,0.574,0.674,0.815,0.78,0.505,0.573
13,586.70,0.2343,-279.35,0.852,0.81,0.574,0.674,0.815,0.78,0.505,0.573
14,588.59,0.2343,-279.3,0.852,0.81,0.574,0.674,0.815,0.78,0.505,0.573
15,588.62,0.2344,-279.31,0.852,0.81,0.574,0.674,0.815,0.78,0.505,0.573
16,588.38,0.2344,-279.31,0.852,0.81,0.574,0.674,0.815,0.78,0.505,0.573
17,586.93,0.2367,-278.46,0.852,0.81,0.574,0.674,0.815,0.78,0.505,0.573
18,581.53,0.2441,-275.76,0.859,0.818,0.598,0.699,0.828,0.799,0.556,0.614
19,586.48,0.2455,-275.24,0.859,0.818,0.598,0.699,0.828,0.799,0.556,0.614
20,576.02,0.2544,-272.01,0.855,0.82,0.598,0.679,0.819,0.787,0.525,0.586
21,577.54,0.2544,-272.01,0.855,0.82,0.598,0.679,0.819,0.787,0.525,0.586
22,577.41,0.2544,-272.01,0.855,0.82,0.598,0.679,0.819,0.787,0.525,0.586
23,577.90,0.2544,-272.01,0.855,0.82,0.598,0.679,0.819,0.787,0.525,0.586
24,574.34,0.2594,-270.17,0.862,0.823,0.611,0.706,0.822,0.791,0.534,0.596
25,576.21,0.2594,-270.17,0.862,0.823,0.611,0.706,0.822,0.791,0.534,0.596
26,574.88,0.2594,-270.17,0.862,0.823,0.611,0.706,0.822,0.791,0.534,0.596
27,577.49,0.2594,-270.17,0.862,0.823,0.611,0.706,0.822,0.791,0.534,0.596
28,576.20,0.2594,-270.17,0.862,0.823,0.611,0.706,0.822,0.791,0.534,0.596
29,574.08,0.2594,-270.17,0.862,0.823,0.611,0.706,0.822,0.791,0.534,0.596
30,572.47,0.2647,-268.23,0.865,0.83,0.627,0.709,0.821,0.795,0.542,0.592
31,572.27,0.2623,-269.14,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
32,573.77,0.2629,-268.88,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
33,574.09,0.2625,-269.05,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
34,572.96,0.264,-268.48,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
35,573.95,0.2627,-268.97,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
36,574.21,0.2623,-269.1,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
37,574.25,0.2623,-269.13,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
38,574.27,0.2623,-269.13,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
39,572.71,0.2644,-268.35,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
40,574.16,0.2624,-268.35,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
41,573.26,0.2636,-268.63,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
42,573.92,0.2636,-268.63,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
43,573.93,0.2636,-268.63,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
44,571.79,0.2657,-267.9,0.856,0.82,0.599,0.683,0.826,0.794,0.543,0.606
45,567.19,0.2747,-264.6,0.855,0.82,0.598,0.679,0.82,0.79,0.532,0.59
46,569.40,0.2717,-265.7,0.855,0.82,0.598,0.679,0.82,0.79,0.532,0.59
47,567.40,0.2717,-265.7,0.855,0.82,0.598,0.679,0.82,0.79,0.532,0.59
