score,date,title,review,link_id,Name,Location,City
40,8-Mar-20,Good food,"Good food , nice service. No wow factor. Could do something more to get that 5 star rating. Staff friendly.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,28-Feb-20,"Good food, great service!","As always, the food was well prepared and flavorsome. We had chicken basil dimsum, spring rolls & some excellent bbq chicken for starters. Rice, noodles & Mao chicken for mains. Mr.Jivan was so good to guide us as to what to order & we had an enjoyable meal. He even gave us dessert on the house! Prompt and smiling service & yummy food made the evening memorable.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,4-Feb-20,"Excellant food, served with enthusiasm","Yes, the food was wonderful. Regular stuff, along with some exceptional dishes.. Especially, the dessert called as Budha's Foo. Curious about the name, we asked for the description. The dish was explained with so much passion, that we had to order it. It did meet our expectations, however, I thought that quantity could have been more.. I would strongly recommend this restaurant for its taste and wonderful service..",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,3-Feb-20,Khowsuey,The khowsuey is amazing out here. Absolute value for money. They hv multiple sections where you will be able to enjoy your meal. Service is good.,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,23-Jan-20,The food was delicious here.,"Went here with my friends for dinner. China Bistro is casual dining restaurant. They served Asian, Chinese & Thai food. Ambiance was awesome.service was friendly and attentive. The food was delicious and they spread was superb starters were tasty and filling. Valet parking available here. Will visit again.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,6-Jan-20,Good Food Place,A good place for Chinese food. Lot of choices for buffet but what is the best is the personalised attention that is offered by the staff. It's a Happy mealtime place.,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,5-Dec-19,Best hospitality + brilliant food,"Inarguable the best restaurant of 2019 in terms of hospitality. Best service ever received & amount of ethics they have in their work is just excellent. Shubham who was serving us was the most humble person you will ever come across in any hotel.Situated right beside of worli seaface & yet its not that expensive. It's an Asian Bistro who also have a buffet at very attractive price. We didn't opted for the buffet because it was not available but we eat like it was buffet.We had chicken ramen soup, Chicken mandarin kabab, chicken salad, raw mango salad, raw mango drink, Japanese cooler, orange spritizer, noodles, puddings, ice-cream & then Japanese tea to improve the digestion because we wer forced to.No doubt food quality & quantity was excellent. Chicken was damn fresh & it was my first time i was having ramen & i loved it. Drinks was also nice but desserts was mind blowing. Presentation of every dish was also very gorgeous.Overall it's a excellent place to enjoy unlimited Asian cuisine at affordable price, plus you get good food & top level service. I am surely visiting this place to have their buffet again.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,8-Nov-19,Go for the lunch buffet at China bistro,"One should go from monday to friday for the lunch buffet . It is very reasonably priced and we get to eat soup ,5 starters ,rice and noodles 5 main courses and 10to 12 desserts. With one round of soft beverages priced tea or fresh lime soda.Only the service was very poor since it was overcrowded when we went. However since we complained about the poor service they waived off the service charge.It was a very enjoyable lunch and we are sure we will definitely go back for itOnly thing is the",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,23-Sep-19,"Quite a spacious restaurant with good Chinese,Asian,Korean options.Lunch Buffet available.","This restaurant was recommended by one of our friends who is a big time foodie.We visited it for dinner over weekend.It is quite spacious with typical asian/ Chinese theme ambiance.We ordered :Avocado Tempura Sushi: Very Good.Salmon Sushi Roll: Very Good.Nasi Goreng Chicken : Average ( I have had more authentic version at many places).Fire roasted Mandarin chicken : Excellent.Steamed Wontons in Cantonese Soy sauce : ExcellentLobster in butter garlic sauce :too fried for my liking but quite good.Golden Corn Water chestnut & Potato in Asian Sauce: Average.For desserts we ordered chocolate cigars ( cigar shaped rolls with vanilla ice cream).: good.Our attendant Milan was enthusiastic and friendly, though a bit loud.After the first order,For re-ordering we had to call them repeatedly.Though after ordering food arrived quickly.The only odd part was that we were 6 of us, many of the starters had only 5 pieces .I asked the attendant why so ,he said that is their serving size.They have a lunch buffet as well.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,13-Jul-19,pleasant dinner experience,"5 couples, with a common link that kids study together, had a social dinner outing at China Bistro. We enjoyed the fun elements in meeting as also all the food that we kept asking. Portions are well sized. I had promised myself to remain little miserly with food quantity, however very quickly the promise was broken. Ladies did taste their version of ""chilli vodka"".The restaurant has valet-services.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
