,score,date,title,review,link_id,Name,Location,City
0,30,30 August 2020,Gets the job done,Decent indo chinese food and good buffet options. However it can be quite busy and sometimes the buffet options can be hit and miss. That said I have had a nice experience each time.,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
1,40,27 January 2019,Good chinese food,We visited this restaurant for lunch with friends. This place serves authentic chinese food and has lot of options on the menu. The service was quick and it is a good place to hangout with friends.,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
2,40,12 September 2018,Chinese food,Mainland China has maintained its quality of Chinese cuisine and the pricing too! We will surely check again!,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
3,50,21 August 2018,Brilliant experience,I looved it absolutelyMy first buffet in goa nd buoy it was worth every penny of itThe staff is very hospitable and make u feel at homeDefinitely a must visit nd lunch is fr 500 with unlimited soft drinksThank you ppl @ mainland China.I gt high on food !,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
4,40,16 September 2017,Yummy Chinese,Awesome or to put it in a better way best Chinese food in goa .Review is as follows:Food Quality :They most serve buffet for lunch . The starters were hot and very tasty followed by the main course which was a delight.Beverage Quality:They serve mostly mocktails and juices which are good enough.Location :Located in the Caculo Mall in Goa it's very well centrally located in Panjim.Staff Service :Staff were superb humble and always eager to help .Would rate the overall experience of the place as 4/5.Must visit in case one has a craving for good Chinese food in goa .,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
5,40,23 April 2017,Very good Chinese food,Starters are amazing. Also staff is very friendly. service is very good. buffet is very tasty and good combination of dishes. Good fresh fish also available. Desserts also very nice. In all its worth the money.,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
6,40,23 January 2017,Consistent quality & good service !,"As regulars of this Chinese restaurant, we are never disappointed with the quality of the food.We ordered the Braised Sopo chicken, which was delicious along with the Chilli garlic noodles with prawn and chicken.The service is good and brisk.Manager Arun does a great job !!Keep it up !",https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
7,50,31 December 2016,my chinese end,the ebst chinese food in goa you can get at this place.. really loved the food.. i am now a big time fan of this place.. love to eat here and its ecnomical too... recommended.,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
8,40,13 December 2016,Super Chinese food!!,"We decided to visit this favourite restaurant during lunch hours, when they normally do brisk business for their buffet lunch.We were with relatives and opted to stick to the a-la-carte menu.We ordered our drinks and then requested for fried chicken wontons and a portion of steamed chicken suimai. Both starters were very good.For the mains, we chose the Crabmeat fried rice and the chilli garlic noodles with prawns and chicken. Both dishes met expectations.We also ordered the Mahlak Lamb which was tender and delicious and the Braised chicken sapo. This were well prepared too.Definitely one of the better Chinese restaurants in the Panjim area.",https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
9,50,15 November 2016,Awesome Lunch,"Visited Goa for Honeymoon and stayed in Miramar Residency. Saw an advertisement in local newspaper about Mainland China's great buffet lunch offers. So me and my wife decided to have a lunch out there. Called the staff for a booking and a was provided a 1:30 pm slot. Now to mention, I have visited almost all the outlets (Kolkata, Mumbai, Hyderabad, Chennai, Bangalore) so I had in mind the quality of food I should expect. But, Mainland China @ Caculo Mall, Panjim surpassed it. Was welcomed by the staff at the reception area, got a table as per our convenience that too even when we reached the location by 1 pm. Starters were awesome and each and every item was wonderful. Being a bengali, I do understand the quality of fish in the very first bite. It was the best I had out of all the visits in various other branches all over the country. The lunch ended on a sweet note with some great deserts. Well had ICICI Credit card and got an extra 5% discount and a complimentary soft drink. Awesome food and very courteous staff made our day. Would certainly drop by for our next visit.",https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
10,50,14 November 2016,Go for the sea food,"Went with family for dinner. Although the access is a bit complex , we were happy to find the place uncrowded. Its a place for Goa's well mannered cognoscenti . We ordered soups and dimsums for starters.. Main course was mainly sea food based , must appreciate the high quality and freshness of the prawns and fish.Staff were very courteous and attentive to details. Arguably the best fine dine restaurant in Goa for Oriental food.",https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or10-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
11,50,18 September 2016,I love this place,I am a regular at this place. Love everything here. Best part is I can get the same food at any mainland china anywhere in India. It's that consistent. I love it. Jiangs chilli chicken the stir fried greens in garlic are my fav. The buffet at lunch is also good. They have a lovely membership program.,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or10-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
12,40,25 August 2016,Delicious Oriental food,"We enjoy dining at Mainland China and are 'regulars' at this Chinese restaurant.This time around, however, we were rather disappointed to note that there were no lamb dishes on offer.We settled for the Sliced chicken in Oyster sauce which was very flavourful and mild.We enjoyed the Chilli garlic prawn noodles too.",https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or10-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
13,40,14 August 2016,Good place for party,"Mainland China restaurant is located in Caculo mall, Panaji, just opposite fire brigade station. This place has a dining room and also separate party halls for small parties like for Birthdays or even engagements and can fit about 100 people. The food quality is good and tasty. The prices are bit on higher side.",https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or10-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
14,40,26 July 2016,Lives up to the expectations !!,The place is located in the mall and lives to the expectations of the Mainland China chain in terms of service / ambience and food quality.. the place has ample parking and is the place for Chinese food in Panjim..,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or10-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
15,20,6 July 2016,Only Go Once !!!,"The food was average and not at all authentic or the what i expected. The service was good, the ambience superb & food below average.This place is ok to visit once if you are eating out often, so that you know ok i have been there.I would not recommend it for those on short visit",https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or10-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China, Panaji, Goa
