Center_No,Sl.No.,Tot_enrol,S_1_5_Boys,S_1_5_Girls,S_6_8_Boys,S_6_8_Girls,Loc_type
GXZ-CU1,1,42,14,16,4,8,City
GXZ-CU2,2,206,48,33,81,44,City
GXZ-CU3,3,93,25,26,14,28,City
GXZ-CU4,4,126,36,42,27,21,City
GXZ-CU5,5,65,27,17,13,8,City
GXZ-CU6,6,154,45,38,36,35,City
GXZ-CU7,7,278,67,91,67,53,City
GXZ-CU8,8,366,109,108,66,83,City
GXZ-CU9,9,170,45,42,51,32,City
GXZ-CU1CU0,10,143,48,27,39,29,City
GXZ-CU1CU2,12,242,78,72,51,41,City
GXZ-CU1CU3,13,212,75,61,42,34,City
GXZ-CU1CU4,14,253,81,60,65,47,City
GXZ-CU1CU5,15,247,76,57,66,48,City
GXZ-CU1CU6,16,90,22,21,28,19,City
GXZ-CU1CU7,17,191,56,54,51,30,City
GXZ-CU1CU8,18,137,43,62,14,18,City
GXZ-CU1CU9,19,137,41,35,40,21,City
GXZ-CU2CU0,20,250,76,93,41,40,City
GXZ-CU2CU1,21,73,28,24,11,10,City
GXZ-CU2CU2,22,149,53,42,28,26,City
GXZ-CU2CU3,23,144,56,44,23,21,City
GXZ-CU2CU4,24,776,212,249,156,159,SemiUrban
GXZ-CU2CU5,25,101,47,54,0,0,SemiUrban
GXZ-CU2CU6,26,235,75,71,51,38,City
GXZ-CU2CU9,29,205,0,115,0,90,SemiUrban
GXZ-CU3CU0,30,268,85,77,57,49,Rural
GXZ-CU3CU1,31,458,0,262,0,196,SemiUrban
GXZ-CU3CU2,32,172,0,102,0,70,SemiUrban
GXZ-CU3CU3,33,344,106,116,68,54,SemiUrban
GXZ-CU3CU4,34,184,45,51,38,50,SemiUrban
GXZ-CU3CU5,35,283,87,86,58,52,Rural
GXZ-CU3CU6,36,212,65,63,36,48,Rural
GXZ-CU3CU7,37,252,76,70,44,62,Rural
GXZ-CU3CU8,38,608,150,201,141,116,Rural
GXZ-CU3CU9,39,317,182,0,135,0,SemiUrban
GXZ-CU4CU0,40,265,122,0,143,0,SemiUrban
GXZ-CU4CU1,41,100,80,0,20,0,SemiUrban
GXZ-CU4CU2,42,77,43,34,0,0,Rural
GXZ-CU4CU3,43,229,66,55,62,46,Rural
GXZ-CU4CU4,44,31,10,8,8,5,Rural
GXZ-CU4CU5,45,222,61,60,49,52,Rural
GXZ-CU4CU6,46,101,31,21,25,24,Rural
GXZ-CU4CU7,47,275,76,80,63,56,Rural
GXZ-CU4CU8,48,539,157,156,103,123,Rural
GXZ-CU4CU9,49,498,140,140,126,92,Rural
GXZ-CU5CU0,50,160,0,0,104,56,Rural
GXZ-CU5CU1,51,337,203,0,134,0,Rural
GXZ-CU5CU2,52,306,0,179,0,127,Rural
GXZ-CU5CU3,53,417,103,112,101,101,Rural
GXZ-CU5CU4,54,369,112,122,61,74,SemiUrban
GXZ-CU5CU5,55,404,117,112,100,75,SemiUrban
GXZ-CU5CU6,56,314,93,88,89,44,Rural
GXZ-CU5CU7,57,245,152,0,93,0,Rural
GXZ-CU5CU8,58,183,109,0,74,0,Rural
GXZ-CU5CU9,59,414,0,256,0,158,Rural
GXZ-CU6CU0,60,172,57,54,37,24,Rural
GXZ-CU6CU1,61,382,42,28,217,95,Rural
GXZ-CU6CU2,62,165,37,53,42,33,Rural
GXZ-CU6CU3,63,198,54,61,47,36,Rural
GXZ-CU6CU4,64,184,48,63,37,36,Rural
GXZ-CU6CU5,65,232,71,51,68,42,Rural
GXZ-CU6CU6,66,239,73,63,59,44,Rural
GXZ-CU6CU7,67,380,218,0,162,0,Rural
GXZ-CU6CU8,68,414,0,241,0,173,Rural
GXZ-CU6CU9,69,384,125,124,67,68,Rural
GXZ-CU7CU0,70,452,129,139,103,81,Rural
GXZ-CU7CU1,71,103,26,37,19,21,Rural
GXZ-CU7CU2,72,111,37,35,21,18,Rural
GXZ-CU7CU3,73,66,22,24,10,10,Rural
GXZ-CU7CU4,74,45,15,15,9,6,Rural
GXZ-CU7CU5,75,623,171,153,145,154,Rural
GXZ-CU7CU6,76,30,16,14,0,0,Rural
GXZ-CU7CU7,77,330,99,95,73,63,Rural
GXZ-CU7CU8,78,27,14,13,0,0,Rural
GXZ-CU7CU9,79,6,3,3,0,0,Rural
GXZ-CU8CU0,80,32,17,15,0,0,Rural
GXZ-CU8CU1,81,32,14,9,4,5,Rural
GXZ-CU8CU2,82,385,123,91,89,82,Rural
GXZ-CU8CU3,83,380,244,0,136,0,Rural
GXZ-CU8CU4,84,363,0,223,0,140,Rural
GXZ-CU8CU5,85,206,60,57,47,42,Rural
GXZ-CU8CU6,86,289,78,88,67,56,Rural
GXZ-CU8CU7,87,526,141,156,119,110,Rural
GXZ-CU8CU8,88,396,100,99,104,93,Rural
GXZ-CU8CU9,89,111,41,29,15,26,Rural
GXZ-CU9CU0,90,225,77,69,46,33,Rural
GXZ-CU9CU1,91,27,13,14,0,0,Rural
GXZ-CU9CU2,92,141,51,43,23,24,Rural
GXZ-CU9CU3,93,255,87,80,48,40,Rural
GXZ-CU9CU4,94,119,31,30,34,24,Rural
GXZ-CU9CU5,95,407,118,131,84,74,Rural
GXZ-CU9CU6,96,307,71,95,66,75,Rural
GXZ-CU9CU7,97,254,58,80,60,56,Rural
GXZ-CU9CU9,99,274,127,0,147,0,SemiUrban
GXZ-CU1CU0CU0,100,165,0,92,0,73,SemiUrban
GXZ-CU1CU0CU1,101,200,67,46,49,38,Rural
GXZ-CU1CU0CU2,102,281,72,85,65,59,Rural
GXZ-CU1CU0CU3,103,274,163,0,111,0,Rural
GXZ-CU1CU0CU4,104,263,0,166,0,97,Rural
GXZ-CU1CU0CU5,105,243,64,59,57,63,Rural
GXZ-CU1CU0CU6,106,166,98,0,68,0,Rural
GXZ-CU1CU0CU7,107,154,0,96,0,58,Rural
GXZ-CU1CU0CU8,108,264,165,0,99,0,Rural
GXZ-CU1CU0CU9,109,243,0,144,0,99,Rural
GXZ-CU1CU1CU0,110,139,35,48,25,31,Rural
GXZ-CU1CU1CU1,111,111,17,38,29,27,Rural
GXZ-CU1CU1CU2,112,309,89,73,90,57,Rural
GXZ-CU1CU1CU3,113,259,92,74,49,44,Rural
GXZ-CU1CU1CU4,114,217,61,63,62,31,Rural
GXZ-CU1CU1CU5,115,30,16,14,0,0,Rural
GXZ-CU1CU1CU6,116,225,62,51,62,50,Rural
GXZ-CU1CU1CU7,117,38,13,25,0,0,Rural
GXZ-CU1CU1CU8,118,466,111,121,130,104,Rural
GXZ-CU1CU1CU9,119,78,30,25,13,10,Rural
GXZ-CU1CU2CU0,120,335,0,191,0,144,Rural
GXZ-CU1CU2CU1,121,378,208,0,170,0,Rural
GXZ-CU1CU2CU2,122,290,52,107,73,58,Rural
GXZ-CU1CU2CU3,123,74,19,19,21,15,Rural
GXZ-CU1CU2CU4,124,65,21,14,13,17,Rural
GXZ-CU1CU2CU5,125,329,74,105,84,66,Rural
GXZ-CU1CU2CU6,126,146,35,56,28,27,Rural
GXZ-CU1CU2CU7,127,74,21,19,21,13,Rural
GXZ-CU1CU2CU8,128,537,143,145,110,139,Rural
GXZ-CU1CU2CU9,129,261,83,70,60,48,Rural
GXZ-CU1CU3CU0,130,167,52,42,35,38,Rural
GXZ-CU1CU3CU1,131,63,18,16,17,12,Rural
GXZ-CU1CU3CU2,132,208,57,66,52,33,Rural
GXZ-CU1CU3CU3,133,156,49,50,23,34,Rural
GXZ-CU1CU3CU4,134,101,40,40,10,11,Rural
GXZ-CU1CU3CU5,135,595,152,152,146,145,Rural
