Link_ID,Link_address,Name,Location,City
1,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China,Panaji,Goa
2,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or10-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China,Panaji,Goa
3,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or20-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China,Panaji,Goa
4,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or30-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China,Panaji,Goa
5,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or40-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China,Panaji,Goa
6,https://www.tripadvisor.in/Restaurant_Review-g303877-d6563415-Reviews-or50-Mainland_China_Caculo_Mall_Panaji_Goa-Panjim_North_Goa_District_Goa.html,Mainland China,Panaji,Goa
7,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
8,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or10-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
9,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or20-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
10,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or30-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
11,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or40-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
12,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or50-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
13,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or60-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
14,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or70-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
15,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or80-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
16,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or90-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
17,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or100-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
18,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or110-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
19,https://www.tripadvisor.in/Restaurant_Review-g304554-d806558-Reviews-or120-Mainland_China-Mumbai_Maharashtra.html,Mainland China,Andheri,Mumbai
