"","id_x","Retain","alexa_rank","average_product_price","common_crawl_pagerank","platform_rank","product_images","product_images_created_30","product_images_created_365","product_images_created_90","product_variants","products_sold","rank","vendor_count","age","combined_followers","facebook_followers","facebook_followers_90d","instagram_followers","instagram_followers_90d","instagram_posts","estimated_monthly_sales","monthly_app_spend","installed_apps_count","category_firstcat_Apparel","category_firstcat_ArtsEntertainment","category_firstcat_AutosVehicles","category_firstcat_BeautyFitness","category_firstcat_BooksLiterature","category_firstcat_BusinessIndustrial","category_firstcat_Computers","category_firstcat_ConsumerElectronics","category_firstcat_FoodDrink","category_firstcat_Games","category_firstcat_GiftsSpecialEvents","category_firstcat_Health","category_firstcat_HomeGarden","category_firstcat_Internet","category_firstcat_JobsEducation","category_firstcat_Missing_category","category_firstcat_PeopleSociety","category_firstcat_PetsAnimals","category_firstcat_SafetySurvival","category_firstcat_Sports","category_firstcat_ToysHobbies","category_firstcat_Travel","cityAmritsar","cityBengaluru","cityChandigarh","cityDelhi","cityGurugram","cityKolkata","cityMissing_city","cityMumbai","facebook_categoriesfb_ArtsCraftsStore","facebook_categoriesfb_ClothingBrand","facebook_categoriesfb_DesignFashion","facebook_categoriesfb_EcommerceWebsite","facebook_categoriesfb_FruitVegetableStore","facebook_categoriesfb_HealthBeauty","facebook_categoriesfb_IndustrialCompany","facebook_categoriesfb_JewelryWatches","facebook_categoriesfb_Missing_fb_cat","facebook_categoriesfb_ProductService","facebook_categoriesfb_RetailCompany","facebook_categoriesfb_ShoppingRetail","facebook_categoriesfb_SportingGoodsStore","facebook_categoriesfb_SportsFitnessInstruction","facebook_categoriesfb_ToyStore","facebook_categoriesfb_TrophiesEngravingShop","facebook_categoriesfb_VintageStore","facebook_categoriesfb_Website","instagram_categoriesinsta_ContentApps","instagram_categoriesinsta_CreatorsCelebrities","instagram_categoriesinsta_FoodPersonalGoods","instagram_categoriesinsta_GroceryConvenienceStores","instagram_categoriesinsta_HomeGoodsStores","instagram_categoriesinsta_HomeServices","instagram_categoriesinsta_LifestyleServices","instagram_categoriesinsta_Missing_insta_cat","instagram_categoriesinsta_NonProfitsReligiousOrganizations","instagram_categoriesinsta_PersonalGoodsGeneralMerchandiseStores","instagram_categoriesinsta_Publishers","Contact_Page","International_Shipping","Missing_features","Returns_Page","Tracking_or_Returns","Tracking_Page","Shopify_POS","Financing_Page","Wholesale_Retailers_Page","Storefront_API","Store_Locator_Page","Brands_Page"
"1",1,0,2122361,2.23,7144943,53003,3431,87,3431,167,372,372,233645,1,698,3101,1470,1065,852,41,96,91801.73,16.99,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"2",2,1,0,2712.25,0,1217631,85,0,85,0,136,23,7293463,1,138,130314.75437957,217404.892219817,5523.20224309421,42090.1253732291,7403.79809477878,1177.94592712112,100,33.9914076604555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3",3,0,0,1399,0,1639956,26,0,26,26,6,6,9532213,1,61,130314.75437957,217404.892219817,5523.20224309421,42090.1253732291,7403.79809477878,1177.94592712112,100,33.8002538143016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4",4,0,0,299,0,1078905,0,0,0,0,1,1,6565425,1,411,163,109,1,47,1,8,100,39.0240468698572,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"5",5,1,225666,518.33,124733774,431094,41,0,41,0,9,9,2041450,1,124,130314.75437957,217404.892219817,5523.20224309421,42090.1253732291,7403.79809477878,1177.94592712112,51048.75,32.3873242508096,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6",6,0,0,740.82,0,617899,17755,16,16284,1173,31238,9621,2645196,15,397,32753.2544572037,22443.2418064182,1694.34106976897,9661.0332400419,2754.63388853285,747.981214779373,100,42.4351334401709,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"7",7,0,117343,3256.43,0,493242,507,58,507,345,129,48,2390328,2,173,5510,3849,396,1661,2249.72402765299,108,143485.22,4.98,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"8",9,0,3970000,149.01,0,632920,95784,8,95223,426,95719,95719,2680273,11,1069,32753.2544572037,22443.2418064182,1694.34106976897,13732.777727486,2520.60075361222,982.452274107472,100,51.7091532059315,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9",10,0,0,1096.49,70821558,230311,426,1,29,1,587,401,1090954,2,558,630,630,15,6097.70783829332,423.481985805948,346.595433207144,37006.86,20.160721850342,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10",11,0,0,7750,0,557447,8,0,8,1,3,1,2518881,1,236,578,8121.3904069637,227.113014160915,576,13,63,100,31.6412157190635,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
