Station Names,Station Code,degree,betweenness,closeness,eigen,degree_random,betweenness_random,closeness_random,eigen_random,degree_watts_strogatz,betweenness_watts_strogatz,closeness_watts_strogatz,eigen_watts_strogatz,degree_ba,betweenness_ba,closeness_ba,eigen_ba
Airoli,AIRL,2,635.50,0.0006,0.0109,2.09,197.85,0.0003,0.0090,2.03,994.57,0.0003,0.0097,7.77,3011.74,0.0025,0.0488
Ambernath,ABH,2,1122.00,0.0004,0.0000,1.98,187.56,0.0003,0.0088,1.95,968.94,0.0003,0.0087,9.07,3412.12,0.0025,0.0603
Ambivili,ABY,2,936.00,0.0005,0.0000,2.01,172.72,0.0003,0.0088,2.01,1015.32,0.0003,0.0083,6.78,2501.15,0.0024,0.0428
Andheri,ADH,2,1932.00,0.0005,0.0001,2.14,208.25,0.0003,0.0106,2.03,1070.78,0.0003,0.0091,5.72,1902.76,0.0023,0.0353
Asangaon,ASO,2,540.00,0.0004,0.0000,2.07,187.93,0.0003,0.0104,1.99,1072.10,0.0003,0.0065,4.97,1342.60,0.0021,0.0264
Atgaon,ATG,2,436.00,0.0004,0.0000,2,155.09,0.0003,0.0084,1.99,1024.57,0.0003,0.0061,4.77,1204.33,0.0021,0.0262
Badlapur,BUD,2,1030.00,0.0004,0.0000,2.15,191.64,0.0003,0.0101,1.99,1031.35,0.0003,0.0051,4.37,1062.61,0.0021,0.0214
Bandra,BDTS,2,2200.00,0.0006,0.0011,1.88,146.81,0.0003,0.0073,1.99,1013.77,0.0003,0.0053,4.17,989.80,0.0021,0.0207
Belapur CBD,BAP,2,436.00,0.0005,0.0193,2.24,207.88,0.0003,0.0096,2.03,997.66,0.0003,0.0056,3.5,740.96,0.0019,0.0150
Bhandup,BND,2,2227.50,0.0006,0.0012,2.15,176.68,0.0003,0.0093,1.99,1036.20,0.0003,0.0073,3.69,746.01,0.0020,0.0183
Bhayander,BYR,2,1212.00,0.0004,0.0000,2.1,168.15,0.0003,0.0090,1.99,1041.37,0.0003,0.0075,3.47,641.22,0.0019,0.0171
Bhivpuri,BVS,2,642.00,0.0004,0.0000,2.01,189.48,0.0003,0.0088,2.05,1101.91,0.0003,0.0072,3.68,761.02,0.0019,0.0165
Borivali,BVI,2,1470.00,0.0004,0.0000,2.09,223.87,0.0003,0.0082,2.02,1066.93,0.0003,0.0069,2.8,453.45,0.0019,0.0129
Boisar,BOR,2,222.00,0.0003,0.0000,2.1,181.89,0.0003,0.0084,1.99,1029.23,0.0003,0.0070,3.49,609.02,0.0019,0.0152
Byculla,BY,2,202.17,0.0005,0.0003,1.97,139.64,0.0003,0.0078,1.97,1010.04,0.0003,0.0058,3.32,567.73,0.0019,0.0139
Charni Rd,CYR,2,222.00,0.0005,0.0001,2.32,222.51,0.0003,0.0101,2,1088.19,0.0003,0.0085,2.89,444.70,0.0018,0.0116
Chembur,CMBR,2,917.50,0.0006,0.0113,1.82,142.25,0.0003,0.0077,1.96,1102.92,0.0003,0.0080,2.79,396.14,0.0019,0.0136
Chinchpokli,CHG,2,296.33,0.0006,0.0005,1.95,173.52,0.0003,0.0085,2,1128.37,0.0003,0.0088,2.69,396.71,0.0018,0.0111
Chunabhatti,CHF,2,1334.67,0.0007,0.0046,2.09,196.25,0.0003,0.0073,1.98,1101.55,0.0003,0.0082,2.65,344.85,0.0018,0.0100
Churchgate,CCG,1,0.00,0.0004,0.0000,2.05,166.41,0.0003,0.0081,1.99,1166.14,0.0003,0.0100,2.44,268.68,0.0018,0.0105
Cotton Green,CTGN,2,344.00,0.0006,0.0006,2.11,185.02,0.0003,0.0071,2.02,1216.25,0.0003,0.0108,2.67,360.82,0.0018,0.0114
Currey Road,CRD,2,392.00,0.0006,0.0010,2.08,186.05,0.0003,0.0093,2.02,1207.87,0.0003,0.0103,2.54,326.94,0.0018,0.0100
Dadar,DDR,4,2285.83,0.0007,0.0041,1.92,163.17,0.0003,0.0090,2.02,1204.71,0.0003,0.0095,2.64,335.68,0.0018,0.0097
Dahisar,DIC,2,1386.00,0.0004,0.0000,1.84,149.43,0.0003,0.0070,1.96,1183.34,0.0003,0.0084,2.32,292.01,0.0017,0.0080
Dahanu Road,DRD,1,0.00,0.0003,0.0000,2.08,162.07,0.0003,0.0092,2,1201.55,0.0003,0.0079,2.45,258.04,0.0018,0.0098
Diva,DIVA,2,2436.00,0.0006,0.0009,2.08,194.93,0.0003,0.0092,2.02,1211.91,0.0003,0.0073,2.43,259.22,0.0017,0.0076
Dockyard Road,DKRD,2,170.17,0.0005,0.0002,1.76,117.14,0.0003,0.0059,1.99,1175.33,0.0003,0.0066,2.22,228.41,0.0018,0.0106
Dolavi,DOLVI,2,222.00,0.0003,0.0000,1.89,151.61,0.0003,0.0063,1.94,1169.12,0.0003,0.0058,2.22,233.07,0.0017,0.0088
